humidity,temperature,wind_speed,historical_disaster_flag,risk_level
56.68,29.6,36.23,0,Low
28.85,47.9,105.5,1,High
28.51,47.97,79.88,0,High
91.76,15.96,28.9,1,Medium
35.86,45.05,78.75,1,Medium
24.13,35.0,96.18,1,High
24.58,41.43,111.34,0,High
87.04,16.32,24.21,1,Medium
79.62,35.79,102.14,1,High
35.44,23.94,85.19,0,High
24.36,35.34,5.08,0,Medium
33.85,18.03,22.02,0,Low
82.73,36.0,68.69,1,High
44.11,34.07,83.97,0,High
31.88,31.78,48.48,0,Medium
30.73,24.18,36.56,0,Low
70.77,28.59,49.05,1,Medium
45.36,16.19,50.21,0,Medium
65.8,33.67,84.24,0,High
45.3,40.99,65.9,0,Medium
48.85,31.92,88.4,0,High
60.29,32.17,95.98,0,High
59.53,18.82,8.65,0,Low
42.45,26.03,20.76,0,Low
21.17,42.3,102.79,0,High
68.07,18.95,43.79,0,Medium
81.77,25.26,82.52,0,High
71.27,15.35,25.09,0,Low
33.27,42.6,118.7,0,High
99.23,19.67,53.79,0,Medium
80.43,29.31,56.32,1,Medium
92.57,16.47,27.94,1,Medium
66.92,31.28,10.09,1,Medium
71.01,36.42,80.42,0,High
49.33,32.8,40.61,0,Medium
81.49,43.12,60.57,0,Medium
88.02,26.24,59.86,0,Medium
51.88,45.27,75.7,1,High
35.33,15.82,111.3,0,High
67.88,15.24,33.36,0,Low
98.54,35.47,57.3,0,Medium
77.66,46.79,93.84,0,High
78.59,29.52,66.37,0,Medium
98.77,24.51,88.05,0,High
29.91,16.35,93.28,0,High
57.2,47.27,49.39,0,Medium
64.44,41.47,110.96,0,Medium
49.82,16.61,13.11,0,Low
81.9,43.56,88.73,0,Medium
38.76,35.52,102.98,1,High
74.18,15.98,48.16,0,Medium
39.01,43.14,41.76,0,Medium
67.23,28.1,32.98,0,Low
26.78,26.28,86.12,0,High
43.71,28.46,16.42,0,Low
76.07,34.64,47.08,0,Medium
30.75,27.06,8.06,1,Low
70.76,26.33,50.45,0,Medium
63.27,24.39,107.64,1,High
92.73,32.47,89.08,0,High
43.95,22.97,38.7,1,Medium
42.66,33.53,95.04,0,High
58.1,47.83,80.95,0,High
83.01,21.11,67.46,1,High
96.43,31.92,51.96,1,Medium
28.24,16.36,29.53,1,Medium
61.29,25.31,6.12,1,Medium
24.84,38.04,24.84,0,Medium
53.33,15.05,13.45,0,Medium
60.65,31.15,39.97,0,Low
87.3,23.59,38.7,1,Medium
74.66,22.53,39.69,0,Medium
56.86,38.48,18.05,1,Medium
93.51,15.31,22.6,1,Medium
69.61,22.97,68.31,0,Medium
20.38,43.16,74.29,1,High
88.44,23.39,110.26,0,High
98.77,26.93,97.58,0,High
68.06,22.14,49.68,0,Medium
22.39,26.43,2.28,1,Medium
76.65,39.37,38.06,0,Medium
30.08,19.74,83.17,1,High
99.34,15.13,1.99,0,Low
30.15,44.61,105.65,0,High
41.85,16.67,71.35,1,High
86.9,15.6,71.49,1,High
40.29,35.16,66.42,0,Medium
78.06,33.71,91.01,0,High
61.17,15.41,95.52,0,High
27.53,44.36,47.4,0,High
96.92,20.89,23.95,0,Low
36.97,30.5,88.02,0,High
61.36,39.48,87.74,0,High
28.37,44.83,103.87,0,High
36.35,39.54,2.78,0,Medium
77.55,44.29,47.36,0,Medium
66.48,28.5,72.21,0,Medium
35.74,27.45,47.29,1,Medium
74.76,26.2,114.59,1,High
80.28,44.07,33.37,1,Medium
61.76,30.46,31.13,1,Medium
96.75,36.53,59.46,1,Medium
43.58,40.24,105.21,0,High
98.59,46.45,8.62,1,Medium
64.23,18.2,101.5,0,High
33.22,23.36,19.24,0,Low
78.81,24.77,44.55,0,Medium
81.79,21.82,112.98,1,High
28.03,23.73,101.58,1,High
55.99,23.09,85.23,0,High
47.15,32.52,29.81,1,Medium
95.2,44.3,93.28,0,High
62.38,32.71,52.15,1,Medium
96.18,30.91,114.38,1,High
36.62,23.36,3.61,1,Medium
45.72,35.07,55.8,0,Medium
34.98,47.62,98.2,0,High
32.23,45.38,40.97,1,Medium
83.56,35.55,90.1,0,High
93.9,29.45,76.68,1,High
42.47,17.05,54.99,1,Medium
70.58,27.97,110.62,0,High
56.89,36.78,71.96,0,Medium
47.42,20.85,81.37,0,Medium
55.97,44.45,89.95,0,High
72.8,24.98,113.7,0,High
52.25,33.54,86.37,0,High
53.54,36.35,41.08,0,Medium
30.06,18.03,80.1,0,High
21.58,25.78,23.74,0,Low
39.73,37.04,15.52,1,Medium
42.68,37.27,109.24,1,High
76.11,46.45,73.21,1,High
45.64,47.21,47.96,0,Low
90.01,35.14,53.27,0,Medium
45.78,32.97,58.78,0,Medium
39.54,45.12,110.86,0,High
79.6,40.23,91.51,0,High
39.22,36.28,34.72,1,Medium
52.8,22.22,97.93,0,High
20.6,26.09,95.7,0,High
81.95,18.82,46.81,0,Medium
32.32,28.95,74.36,0,Medium
25.57,19.55,94.89,1,High
73.08,18.69,99.9,1,High
64.17,31.53,82.34,0,High
99.95,32.04,11.42,0,Low
45.47,30.22,50.97,1,Medium
48.27,40.99,99.85,0,High
45.72,39.71,96.17,0,High
31.51,44.01,11.53,1,Medium
25.4,16.74,0.06,0,Low
22.79,36.52,98.78,1,High
88.86,42.16,64.67,0,Medium
51.56,39.35,30.89,0,Medium
80.02,30.33,44.15,1,Medium
80.12,18.92,10.32,1,Medium
85.85,28.15,118.85,1,High
55.9,27.97,105.01,0,High
35.38,22.29,78.73,1,High
65.31,33.18,99.43,0,Medium
23.96,34.85,58.34,1,Medium
80.63,42.28,67.35,0,Medium
61.75,25.39,67.69,0,Medium
20.09,22.01,107.34,0,High
91.22,30.51,57.13,0,Medium
37.21,34.33,23.46,0,Low
27.93,21.83,50.73,1,Medium
88.82,25.57,43.29,1,Medium
41.18,35.15,24.65,0,Medium
27.99,18.54,13.84,0,Low
88.19,39.89,98.38,0,High
23.53,28.24,38.87,0,Low
84.5,20.62,117.44,0,High
97.67,27.56,47.7,0,Medium
45.69,21.38,12.39,0,Low
48.69,28.49,51.78,0,Medium
94.62,27.92,39.51,0,Low
56.95,36.74,66.53,0,Medium
50.29,18.12,19.93,0,Low
37.16,33.57,90.66,1,High
94.2,34.71,80.27,1,High
51.4,45.49,69.48,1,Medium
74.43,33.57,3.18,0,Low
59.71,30.37,0.66,0,Low
90.3,27.31,67.81,1,High
81.99,31.39,64.38,0,Medium
88.45,21.19,71.31,0,Medium
28.09,41.76,57.81,0,Medium
68.58,29.02,44.4,0,Medium
83.58,42.64,34.13,0,Low
21.92,32.18,55.64,0,Medium
73.47,27.43,74.25,1,High
61.78,22.07,16.75,1,Medium
27.74,46.26,48.6,0,High
26.46,36.51,104.57,0,High
54.49,16.18,64.15,0,Medium
23.23,38.29,36.21,0,High
87.0,18.88,7.18,0,Low
62.79,45.22,68.09,0,Medium
25.05,46.97,37.28,1,High
97.15,18.11,104.08,0,High
98.07,42.79,113.21,1,High
63.65,32.94,107.87,0,High
58.64,30.06,46.36,0,Medium
27.18,17.56,93.58,0,High
68.98,16.16,18.9,1,Medium
37.5,32.02,112.34,0,High
23.93,20.07,7.6,1,Medium
93.0,32.73,75.12,1,High
69.42,43.52,113.86,0,High
38.07,29.45,113.48,0,High
63.24,21.03,38.49,0,Low
54.78,22.55,86.63,1,High
35.03,18.54,59.72,0,Medium
54.93,47.83,58.35,0,Medium
25.35,34.57,27.36,0,Low
98.51,30.48,107.61,0,High
85.78,36.39,93.81,0,High
88.5,35.83,41.72,0,Medium
96.85,27.24,51.01,0,Medium
78.93,30.17,25.86,0,Low
35.89,35.69,89.67,0,High
28.86,46.55,18.53,1,High
62.35,44.13,91.27,0,High
48.61,30.79,17.69,1,Medium
30.18,33.16,84.6,1,High
82.58,39.68,97.81,0,High
39.26,26.91,21.16,0,Low
39.27,39.81,37.66,1,Medium
55.11,25.0,44.31,1,Medium
94.4,31.43,77.16,0,Medium
69.08,44.36,109.03,0,High
26.49,15.52,57.26,0,Medium
65.45,33.22,100.39,1,High
83.44,42.98,119.38,0,High
45.15,28.25,32.17,0,Low
47.57,33.38,35.56,1,Medium
24.64,46.33,48.35,0,High
35.35,20.79,97.44,1,High
31.2,37.36,97.74,1,High
97.16,23.73,51.59,0,Medium
82.06,40.47,45.4,0,Medium
20.34,33.85,119.29,1,High
61.51,41.73,10.69,0,Medium
49.72,21.23,23.46,0,Low
88.95,36.19,82.85,0,High
52.27,45.47,29.51,0,Low
27.82,30.45,24.07,1,Medium
43.15,41.27,108.91,0,High
41.93,23.41,16.2,0,Low
37.98,42.94,47.9,1,Medium
71.14,40.84,25.31,0,Medium
87.87,22.51,6.06,0,Low
69.51,40.08,15.4,0,Medium
78.27,29.56,105.2,0,High
85.64,39.73,34.54,1,Medium
60.23,31.67,69.92,0,Medium
93.05,23.14,88.38,0,High
35.08,41.24,115.28,0,High
98.73,26.62,76.59,0,Medium
27.5,28.61,105.06,1,High
50.62,47.34,106.02,0,High
46.95,35.01,79.02,0,Low
76.95,33.6,59.47,1,Medium
89.21,16.02,47.57,0,Medium
79.98,23.5,103.99,0,High
37.27,32.53,93.51,1,High
22.17,46.63,85.2,0,High
62.53,30.71,53.94,0,Medium
91.04,41.79,41.95,0,Medium
97.79,44.8,110.63,0,High
36.94,17.97,14.41,1,Medium
25.92,19.37,99.27,0,High
70.47,44.11,76.62,0,Medium
55.79,26.42,56.12,1,Medium
40.86,20.07,29.56,0,Low
74.88,43.26,9.33,0,Low
37.33,37.73,109.18,1,High
43.19,33.29,74.62,0,Medium
30.81,37.89,80.97,0,High
55.75,28.5,10.41,1,Medium
79.43,22.82,99.57,0,High
57.8,31.47,74.37,0,Medium
62.29,34.87,88.5,1,High
58.53,45.42,59.22,0,Medium
56.05,20.97,26.03,1,Low
81.54,39.2,3.86,0,Medium
95.29,20.52,75.2,0,Medium
52.98,40.07,27.68,0,Medium
80.49,43.04,119.86,1,High
40.03,23.67,69.89,0,Medium
62.14,36.09,103.2,0,High
62.28,42.48,36.38,0,Low
98.8,44.9,95.81,1,High
63.78,33.51,60.66,0,Medium
79.93,26.01,39.68,1,Medium
88.04,29.73,27.34,0,Low
21.69,25.44,21.24,0,Low
25.2,16.81,69.81,1,High
32.43,35.02,53.36,0,Medium
84.22,44.47,1.32,1,Medium
63.96,19.95,24.33,0,Low
67.95,46.45,59.29,0,Medium
48.77,22.41,5.52,0,Low
21.48,29.49,77.28,0,Medium
84.84,38.49,12.34,0,Medium
39.65,16.4,26.83,0,Low
34.13,42.21,111.08,1,High
21.43,45.52,114.23,1,High
97.62,44.89,116.49,0,High
87.98,35.26,73.77,0,Medium
32.29,39.41,9.0,0,Medium
57.8,31.82,37.47,0,Low
49.52,20.77,26.35,0,Low
78.73,22.1,103.15,0,High
39.34,35.42,111.2,1,High
98.99,19.97,10.61,0,Low
25.7,30.69,90.45,1,High
87.66,32.16,101.13,0,High
72.06,18.82,106.21,0,High
32.22,37.69,5.68,1,Medium
55.29,28.67,62.63,1,Medium
69.15,27.33,78.16,1,Medium
39.86,30.07,47.29,0,Medium
62.44,34.59,2.62,0,Low
53.7,18.31,93.94,0,Medium
68.11,40.21,34.18,0,Medium
94.33,47.37,5.08,0,Low
31.74,26.1,118.52,1,High
87.41,25.69,57.58,0,Medium
30.47,16.71,113.45,1,High
27.26,28.98,111.61,0,High
40.71,31.65,103.14,0,High
88.44,27.87,63.69,0,Medium
44.11,16.03,47.02,1,Medium
34.51,37.27,31.62,0,Medium
77.34,30.39,43.36,0,Medium
37.11,44.7,41.12,1,Medium
29.92,22.87,89.65,1,High
94.95,35.02,85.24,0,High
47.32,20.37,62.3,0,Medium
69.05,15.47,111.32,1,Medium
28.66,22.93,32.87,1,Medium
35.44,27.49,46.22,0,Medium
27.18,15.83,24.25,0,Low
94.28,31.64,63.82,0,Medium
81.18,42.86,107.46,0,High
84.51,25.18,111.51,1,High
81.61,18.08,78.75,1,High
83.94,34.88,102.82,1,High
53.13,16.4,53.79,1,Medium
54.01,44.02,32.44,0,Low
46.22,31.58,50.13,1,Medium
32.14,26.61,67.89,0,Medium
40.54,47.0,94.17,0,High
31.37,32.37,20.4,0,Low
41.08,45.68,13.82,0,Low
24.71,34.73,97.91,1,High
40.68,36.88,14.24,0,Medium
34.88,25.67,70.52,0,Medium
32.5,18.44,119.97,0,High
58.59,45.44,10.53,1,Medium
95.8,25.39,42.62,0,Medium
35.2,44.65,30.4,0,Low
23.1,36.57,40.68,0,Medium
95.99,39.7,105.15,1,High
49.47,32.73,35.62,1,Medium
40.36,27.74,23.64,1,Medium
51.05,26.4,64.07,0,Medium
67.0,46.88,62.64,0,Medium
24.7,29.16,83.8,0,High
27.42,33.55,15.19,0,Low
77.87,43.69,75.47,0,Medium
87.4,43.68,4.37,0,Low
88.83,36.4,50.43,1,Medium
76.3,21.74,11.23,0,Low
35.98,24.65,116.65,0,High
44.61,24.87,4.74,0,Medium
20.39,39.07,113.86,0,High
58.88,29.39,38.96,0,Low
67.85,44.64,119.4,1,High
34.46,26.62,34.5,1,Medium
59.7,45.34,3.91,1,Medium
26.42,23.67,118.32,1,High
65.89,31.43,69.65,0,Medium
31.09,29.14,82.77,0,High
65.42,17.28,20.44,1,Medium
43.04,38.88,7.97,0,Medium
27.11,15.78,6.75,0,Low
63.86,29.07,95.46,0,High
99.13,19.95,99.68,1,High
90.91,36.95,82.23,1,High
49.33,32.21,55.47,0,Medium
40.07,27.05,17.99,0,Low
30.7,37.9,101.72,1,High
20.69,16.56,91.47,0,Medium
79.85,17.37,71.06,0,Medium
20.87,34.64,118.95,1,High
29.91,33.32,71.57,0,Medium
91.4,41.59,29.67,0,Medium
46.38,45.75,81.83,0,High
63.0,31.07,12.87,1,Medium
25.39,45.74,14.86,1,High
27.75,44.71,87.08,1,High
70.53,39.99,99.38,0,High
45.8,38.01,114.84,0,High
54.97,39.95,119.72,1,High
63.16,30.89,68.59,1,High
66.64,34.31,78.88,0,Medium
83.22,35.62,64.5,0,Medium
41.85,32.4,104.76,0,High
67.38,22.32,88.08,0,High
67.31,26.17,53.55,0,Medium
61.58,27.15,6.05,1,Medium
49.87,46.16,60.62,1,High
47.06,41.92,46.0,0,Medium
28.87,35.09,115.09,0,High
93.86,44.16,62.66,0,Medium
85.56,31.45,4.07,0,Low
86.33,24.15,6.4,0,Low
62.59,36.2,55.51,0,Medium
27.74,22.68,100.4,1,High
63.89,22.1,19.58,0,Low
70.09,45.1,18.12,0,Low
86.33,35.83,74.42,0,Medium
21.32,46.62,70.27,0,High
20.99,31.82,60.86,0,Medium
39.99,32.41,45.03,0,Medium
45.57,24.7,65.2,0,Medium
96.0,24.41,83.13,1,High
57.1,16.02,74.12,0,Medium
61.33,34.93,47.53,1,Medium
72.4,47.85,1.9,0,Low
86.14,32.99,74.39,0,Medium
29.78,45.56,3.12,0,High
35.57,15.13,53.43,0,Medium
56.09,28.28,92.12,0,High
29.95,24.75,109.6,1,High
95.4,46.37,49.34,0,Medium
80.28,16.04,17.3,0,Low
73.28,26.59,106.4,0,High
81.83,23.95,59.31,1,Medium
85.85,44.77,105.3,0,High
94.55,33.85,50.7,0,Medium
43.08,22.96,9.89,0,Low
70.41,32.19,51.43,0,Medium
85.83,21.55,85.99,0,High
89.03,24.6,105.79,0,High
73.17,42.93,119.17,0,High
79.57,29.94,111.23,0,High
28.48,22.45,100.88,0,High
39.68,31.22,96.7,0,High
65.99,30.42,73.71,0,Medium
57.75,34.21,60.12,0,Medium
79.65,26.27,96.07,0,High
66.61,24.42,88.7,1,High
40.41,31.87,113.84,0,High
98.96,43.87,19.9,0,Medium
51.46,43.73,82.65,0,High
84.98,38.42,56.21,0,Medium
33.63,36.21,116.64,1,High
31.16,43.4,27.17,0,Low
20.97,33.36,61.47,0,Medium
52.83,20.54,88.9,0,High
51.48,44.47,0.32,1,Medium
46.73,23.98,55.2,1,Medium
76.54,33.98,11.17,0,Low
81.18,26.9,93.93,1,High
59.76,16.09,27.04,0,Low
26.46,44.11,95.7,0,High
73.93,32.33,78.33,0,Medium
45.26,17.39,113.38,0,High
87.29,47.7,19.41,0,Low
23.91,39.88,42.57,0,Medium
40.78,19.46,14.03,1,Medium
48.11,22.15,83.03,0,High
94.8,27.72,100.3,1,High
99.08,42.94,69.56,0,Medium
74.36,40.42,119.79,0,High
67.67,18.93,29.37,0,Low
34.7,20.47,5.4,0,Low
23.2,15.93,67.04,1,High
54.77,45.47,34.54,0,Low
96.47,47.36,88.69,0,High
85.0,39.3,26.63,0,Medium
86.11,37.57,77.18,0,Medium
49.74,16.51,94.43,0,High
39.63,21.91,70.54,1,High
81.4,27.42,45.63,0,Medium
45.67,40.02,112.75,0,High
79.82,30.11,49.73,0,Medium
28.34,28.69,14.86,0,Low
94.46,16.2,74.58,0,Low
29.48,22.15,32.95,0,Low
20.08,20.34,11.23,0,Low
63.87,22.32,2.91,0,Low
30.15,19.84,117.75,0,High
98.94,17.92,116.94,1,High
53.61,27.67,111.75,1,High
50.33,36.41,116.15,1,High
65.42,38.25,17.9,0,Medium
56.5,20.11,29.29,0,Medium
76.71,47.98,0.9,1,Medium
24.8,34.46,82.08,0,High
75.78,34.61,24.92,0,Low
73.35,30.57,38.59,1,Medium
20.89,47.56,26.7,0,High
42.69,28.8,38.93,0,Low
90.02,20.07,93.2,1,High
61.43,26.1,18.84,1,Medium
93.12,41.31,116.38,1,High
40.57,32.92,38.45,1,Medium
34.67,30.48,78.1,1,High
60.46,42.04,78.47,0,Medium
90.01,35.25,33.39,1,Medium
25.31,22.96,7.28,0,Low
68.83,41.1,98.63,0,High
65.04,30.61,78.61,1,High
27.85,42.36,71.29,1,High
26.76,40.56,70.8,1,High
80.07,24.67,106.72,0,High
42.29,38.4,113.78,1,High
38.77,27.98,89.08,0,High
45.13,19.66,32.03,0,Low
50.24,41.07,7.73,1,Medium
98.83,38.3,74.13,1,High
70.84,27.53,110.91,0,High
79.96,47.19,55.32,0,Medium
39.89,44.26,11.71,0,Low
69.17,31.35,74.08,1,High
41.59,34.73,53.03,1,Medium
49.91,29.72,49.16,1,Medium
55.88,15.54,115.68,0,High
89.53,44.92,40.5,0,Medium
41.38,22.32,13.67,0,Low
80.88,25.44,24.63,0,Low
93.53,43.87,109.93,0,High
57.24,16.57,10.03,0,Low
33.6,46.46,23.45,0,Low
71.28,37.31,39.78,0,Medium
95.02,24.96,30.62,0,Low
56.1,35.87,19.14,0,Medium
41.83,20.35,39.89,0,Low
35.23,21.37,65.01,1,High
95.52,29.08,108.13,1,Medium
77.71,40.11,101.17,1,High
50.12,25.01,20.76,0,Low
86.16,36.1,88.21,0,High
34.7,15.03,71.82,0,Medium
34.89,25.95,8.43,1,Medium
44.97,47.41,115.72,1,High
68.06,37.79,11.54,1,Medium
68.33,47.56,80.64,0,High
74.24,16.33,104.04,0,Medium
60.58,45.92,30.88,0,Low
24.62,17.66,87.24,0,High
43.07,21.44,3.22,0,Low
71.83,27.81,66.6,1,High
94.54,40.13,110.73,0,High
94.26,28.75,0.43,1,Medium
27.63,26.61,84.15,0,High
31.71,39.68,42.58,1,Medium
46.45,24.05,97.42,0,High
31.12,41.66,81.26,1,High
58.68,29.5,13.45,0,Low
33.14,19.37,114.49,1,High
45.77,44.64,67.56,0,Medium
29.19,33.36,41.46,0,Medium
57.81,47.05,66.36,1,High
22.98,41.53,12.17,0,Medium
23.44,17.62,83.53,1,High
47.1,22.53,22.65,0,Low
31.21,46.67,71.37,0,Medium
76.33,42.05,58.02,0,Medium
28.42,36.93,4.03,1,Medium
35.26,36.08,75.42,0,Medium
54.67,26.64,86.46,0,High
58.96,46.89,90.76,0,High
22.12,46.1,38.3,1,High
77.5,16.56,7.43,1,Medium
25.73,45.8,112.43,0,High
43.35,17.11,88.5,1,High
44.9,15.41,52.08,0,Medium
68.34,42.95,48.78,0,Medium
37.84,46.16,33.0,1,Medium
49.34,26.59,62.96,0,Medium
61.66,26.22,98.61,1,High
60.24,37.17,95.46,0,High
51.42,16.08,13.93,1,Medium
59.64,26.76,67.27,0,Medium
73.36,25.5,41.55,0,Medium
45.18,25.9,83.29,0,High
55.28,44.46,4.36,0,Low
60.58,29.0,1.22,0,Low
96.34,24.46,103.95,0,High
36.21,37.61,65.88,0,Medium
41.48,19.56,83.84,0,Medium
79.24,45.59,8.97,1,Medium
71.84,17.27,100.13,0,High
90.24,41.81,61.91,1,High
28.06,36.74,16.08,0,Medium
43.96,22.66,74.4,0,Medium
88.02,43.41,41.07,0,Medium
32.34,32.45,10.36,0,Low
85.73,33.56,66.91,0,Medium
26.08,33.54,39.45,0,Medium
67.7,23.71,22.54,1,Medium
90.32,26.11,81.49,0,High
85.73,37.83,67.11,1,Medium
99.27,40.82,112.51,0,Medium
83.35,29.89,94.75,1,High
80.11,41.17,74.37,0,Medium
97.34,29.49,53.66,0,Medium
64.21,29.27,99.21,0,High
65.14,29.59,84.63,0,High
76.0,39.74,81.17,0,High
59.87,34.41,0.3,0,Low
30.33,41.94,86.05,0,High
88.34,28.66,68.46,1,High
77.45,33.71,59.59,0,Medium
42.25,46.65,84.87,0,High
93.51,39.93,73.13,1,High
81.23,32.19,104.19,1,High
60.48,29.27,13.03,1,Medium
58.75,16.61,1.98,0,Low
76.41,41.25,27.4,0,Medium
44.29,44.33,65.29,0,Medium
46.4,30.54,57.61,0,Medium
88.16,43.5,66.38,0,Medium
43.4,41.37,59.79,0,Medium
61.15,38.47,60.47,0,Medium
97.87,41.8,103.29,0,High
44.54,40.14,16.85,0,Medium
45.79,27.77,98.41,1,High
25.9,40.27,95.04,0,High
93.21,41.42,46.85,0,Medium
43.41,41.53,39.37,0,Medium
23.55,47.92,104.33,0,High
55.07,24.47,15.6,0,Low
94.84,15.13,17.18,1,Medium
38.06,36.65,39.3,0,Medium
68.2,37.92,43.86,1,Medium
97.14,35.52,33.3,0,Medium
73.48,33.5,106.22,0,High
35.18,18.51,115.82,0,High
67.12,17.04,98.66,1,High
62.75,24.13,3.63,0,Low
24.14,39.94,42.01,0,Medium
88.73,24.81,25.22,0,Low
45.41,17.74,19.02,0,Low
24.58,22.02,109.0,0,High
39.24,28.85,25.35,1,Medium
66.07,26.88,73.3,1,High
83.25,43.98,38.64,0,Low
24.27,39.35,20.52,0,Medium
34.76,18.12,41.76,0,Medium
50.51,16.28,72.03,1,High
80.16,28.98,35.93,1,Low
90.67,23.05,68.89,0,Medium
32.25,25.93,80.41,0,High
89.41,40.03,119.07,0,High
86.59,39.1,96.22,0,High
71.06,31.99,102.12,0,High
83.95,46.74,29.87,0,Low
94.9,44.93,68.82,0,Medium
98.0,23.42,86.97,0,High
36.9,21.24,102.78,0,High
77.36,23.26,105.17,0,High
26.79,31.88,54.09,0,Medium
47.51,23.63,33.38,0,Low
99.05,25.79,10.61,1,Medium
83.2,31.91,40.44,0,Medium
95.19,46.72,81.68,0,High
59.3,38.25,9.39,0,Medium
26.8,42.59,111.96,1,High
94.23,46.69,15.35,0,Low
37.72,25.72,2.79,1,Medium
72.25,36.41,93.4,0,High
21.25,21.82,37.49,1,Low
73.29,35.78,112.28,0,High
31.0,33.61,7.39,0,Low
54.23,24.23,82.3,0,High
70.22,32.77,3.73,0,Low
41.66,25.82,112.27,0,High
69.67,28.65,56.42,1,Medium
74.85,16.32,95.4,1,High
71.42,36.54,72.98,0,Medium
78.59,38.28,28.35,1,Medium
42.22,27.1,46.92,0,Medium
84.34,29.44,84.75,1,High
22.26,37.31,41.25,0,Medium
65.1,23.49,74.41,0,Medium
36.3,18.68,14.39,0,Low
20.15,46.45,2.4,0,High
93.17,38.53,55.64,0,High
87.95,45.65,30.57,1,Medium
61.27,32.26,110.95,0,High
52.01,19.41,23.08,1,Medium
76.39,32.5,44.92,0,Medium
90.5,33.05,98.39,0,High
89.23,27.75,47.51,0,Medium
63.59,36.8,51.66,1,Medium
47.68,45.46,24.88,0,Low
86.29,19.58,109.19,0,High
60.81,16.19,59.65,1,Medium
71.93,31.42,11.19,1,Medium
35.27,35.07,21.34,0,Medium
27.29,43.9,35.44,0,High
95.55,38.59,8.27,0,Medium
95.75,18.5,47.52,0,Medium
75.58,24.04,41.38,1,Medium
32.65,29.26,17.2,0,Low
61.75,21.5,9.16,1,Medium
31.15,31.28,78.22,1,High
66.5,22.73,44.65,1,Medium
57.34,47.68,119.55,0,High
26.45,25.68,28.53,1,Medium
56.26,26.21,21.64,0,Low
88.15,22.95,64.61,1,High
32.2,20.33,73.47,1,High
94.38,16.42,67.82,0,Medium
56.22,17.9,86.55,1,High
45.19,44.78,95.58,0,High
73.03,30.84,108.62,0,High
71.23,33.02,14.88,0,Low
87.75,27.5,98.59,0,High
30.82,45.51,57.67,1,Medium
41.21,27.1,86.1,0,High
63.77,29.8,99.38,0,High
96.27,28.04,96.01,0,High
32.92,34.34,14.25,0,Low
75.62,45.03,21.72,0,Low
53.57,20.77,3.49,0,Low
65.92,20.16,54.08,0,Medium
78.34,25.22,64.82,0,Medium
69.36,17.42,21.38,1,Medium
86.87,21.15,26.31,0,Low
69.74,37.66,108.62,1,High
64.78,25.09,108.89,1,High
