region,rainfall_mm,temperature,soil_moisture
Delhi,13.37,27.02,20.59
Delhi,34.26,24.46,24.79
Delhi,38.34,34.35,47.51
Delhi,15.51,22.17,41.0
Delhi,6.64,37.83,53.56
Delhi,5.66,28.28,50.21
Delhi,18.77,24.89,21.79
Delhi,11.68,31.38,23.36
Delhi,33.74,32.39,50.52
Delhi,14.66,27.42,39.3
Delhi,34.08,36.55,54.01
Delhi,19.95,23.68,56.69
Delhi,7.1,25.07,97.24
Delhi,23.94,45.83,45.35
Delhi,24.81,34.18,48.83
Delhi,31.28,23.83,37.6
Delhi,26.16,37.75,49.35
Delhi,13.86,22.66,39.59
Delhi,18.6,28.59,23.39
Delhi,32.08,35.16,34.91
Delhi,166.39,33.41,54.62
Delhi,32.03,25.75,54.33
Delhi,227.19,22.47,55.83
Delhi,9.51,27.57,31.96
Delhi,15.88,36.18,23.39
Delhi,28.71,37.98,36.32
Delhi,22.99,33.21,35.69
Delhi,19.88,27.85,28.08
Delhi,217.99,27.49,58.37
Delhi,21.63,36.35,33.01
Delhi,21.18,31.45,31.98
Delhi,12.9,35.99,42.46
Delhi,31.35,29.62,46.98
Delhi,36.1,24.96,24.08
Delhi,38.21,28.93,58.39
Delhi,1.64,23.05,40.64
Delhi,2.04,28.15,47.93
Delhi,12.08,28.67,4.31
Delhi,226.23,27.33,51.22
Delhi,10.41,25.88,47.33
Delhi,13.23,22.78,48.46
Delhi,1.89,36.7,0.16
Delhi,24.81,31.11,53.98
Delhi,278.01,24.6,54.22
Delhi,36.75,31.65,34.46
Delhi,12.74,31.61,36.56
Delhi,3.12,46.04,3.63
Delhi,29.54,36.24,25.04
Delhi,27.72,30.12,20.16
Delhi,298.96,24.03,55.22
Delhi,24.87,22.81,31.79
Delhi,33.45,46.79,54.96
Delhi,24.43,28.34,49.03
Delhi,30.34,28.71,20.5
Delhi,20.81,23.51,35.8
Delhi,5.97,24.86,54.36
Delhi,8.49,33.74,35.16
Delhi,29.67,34.53,24.18
Delhi,34.62,23.6,49.74
Delhi,296.88,33.51,35.79
Delhi,24.35,28.55,57.42
Delhi,7.87,28.31,26.51
Delhi,13.58,25.9,50.14
Delhi,11.12,24.97,38.74
Delhi,1.81,37.35,39.82
Delhi,10.1,34.24,56.07
Delhi,39.29,23.15,32.18
Delhi,3.88,31.87,26.61
Delhi,6.41,31.35,31.84
Delhi,16.19,34.36,57.66
Delhi,35.84,26.23,27.18
Delhi,17.99,33.36,54.98
Delhi,21.23,25.92,57.6
Delhi,31.09,29.85,41.46
Delhi,5.27,37.24,58.13
Delhi,22.18,26.05,24.76
Delhi,12.86,29.44,41.28
Delhi,39.54,33.87,26.12
Delhi,13.66,27.48,44.91
Delhi,31.75,36.78,45.56
Delhi,299.01,22.99,25.16
Delhi,25.29,36.75,49.05
Delhi,26.4,29.56,33.71
Delhi,27.12,22.64,55.7
Delhi,39.67,32.56,57.9
Delhi,29.54,30.99,40.36
Delhi,16.77,27.48,37.6
Delhi,3.67,32.49,20.79
Delhi,7.91,35.77,46.71
Delhi,11.01,26.54,56.41
Delhi,21.68,37.25,30.2
Delhi,12.82,28.39,20.93
Delhi,35.0,29.1,54.16
Delhi,21.78,32.12,29.77
Delhi,36.95,37.65,50.59
Mumbai,19.22,25.84,31.57
Mumbai,23.44,25.5,54.42
Mumbai,0.3,34.76,25.53
Mumbai,4.63,37.98,26.16
Mumbai,24.79,37.69,25.52
Mumbai,10.83,32.62,53.3
Mumbai,16.94,30.01,46.11
Mumbai,39.98,23.52,59.07
Mumbai,18.45,22.82,34.13
Mumbai,33.28,28.67,49.95
Mumbai,19.65,24.3,23.84
Mumbai,21.35,22.84,3.87
Mumbai,247.84,24.69,54.43
Mumbai,21.56,23.48,49.51
Mumbai,30.09,34.0,34.72
Mumbai,8.34,23.9,27.05
Mumbai,32.92,37.85,46.14
Mumbai,15.72,37.61,27.69
Mumbai,26.24,33.76,42.04
Mumbai,28.42,45.15,39.45
Mumbai,16.75,35.23,35.41
Mumbai,20.88,31.03,22.64
Mumbai,181.84,32.34,55.61
Mumbai,19.04,22.95,43.43
Mumbai,27.18,23.59,36.91
Mumbai,5.39,27.13,22.21
Mumbai,10.59,25.29,57.19
Mumbai,4.3,31.91,54.1
Mumbai,32.79,37.95,36.05
Mumbai,37.95,34.9,59.15
Mumbai,19.75,28.09,43.39
Mumbai,12.84,23.65,43.57
Mumbai,16.35,32.13,57.31
Mumbai,13.17,31.09,46.35
Mumbai,12.83,28.06,26.64
Mumbai,15.56,31.0,30.3
Mumbai,37.1,32.7,57.82
Mumbai,36.96,22.07,47.22
Mumbai,1.06,35.63,38.63
Mumbai,268.0,36.06,42.6
Mumbai,6.42,29.95,58.62
Mumbai,34.23,31.51,34.98
Mumbai,32.44,31.03,44.29
Mumbai,14.8,23.89,53.51
Mumbai,12.15,22.38,38.55
Mumbai,6.54,28.03,21.6
Mumbai,20.89,24.23,33.77
Mumbai,37.89,34.94,23.23
Mumbai,34.86,28.86,21.44
Mumbai,39.74,22.65,32.07
Mumbai,1.8,35.4,22.39
Mumbai,6.23,36.65,35.89
Mumbai,2.52,26.97,31.44
Mumbai,3.77,33.33,59.04
Mumbai,37.74,34.73,41.74
Mumbai,38.87,29.73,35.45
Mumbai,15.66,23.24,37.84
Mumbai,24.49,24.52,59.03
Mumbai,20.63,37.64,21.96
Mumbai,2.53,31.1,41.49
Mumbai,8.07,31.88,57.95
Mumbai,3.62,29.01,35.13
Mumbai,21.62,27.13,46.91
Mumbai,9.15,24.7,27.52
Mumbai,19.91,30.13,59.79
Mumbai,19.12,23.07,29.12
Mumbai,2.03,29.5,39.02
Mumbai,32.89,34.51,45.52
Mumbai,25.24,32.6,58.42
Mumbai,17.0,30.09,38.39
Mumbai,29.81,25.18,49.89
Mumbai,10.9,37.3,27.91
Mumbai,21.18,34.17,27.01
Mumbai,19.14,26.37,25.09
Mumbai,28.2,29.7,49.92
Mumbai,17.93,25.85,27.05
Mumbai,15.68,34.03,30.91
Mumbai,17.55,27.91,50.53
Mumbai,19.92,35.87,44.54
Mumbai,36.34,29.37,20.63
Mumbai,19.77,31.09,53.46
Mumbai,9.01,35.57,54.92
Mumbai,12.57,26.29,57.55
Mumbai,22.28,24.72,22.32
Mumbai,16.12,32.9,27.02
Mumbai,10.59,24.24,52.58
Mumbai,11.05,26.23,37.3
Mumbai,31.03,28.05,28.52
Mumbai,235.68,22.62,40.76
Mumbai,3.56,33.95,27.55
Mumbai,16.4,35.79,47.62
Mumbai,16.47,36.77,49.19
Mumbai,3.91,25.21,38.55
Mumbai,31.84,34.84,30.97
Mumbai,5.4,28.43,53.87
Mumbai,1.4,32.23,28.44
Mumbai,34.04,25.64,54.7
Mumbai,24.76,24.05,57.54
Mumbai,17.65,30.44,52.82
Mumbai,11.51,25.81,40.21
Mumbai,15.8,36.61,49.46
Mumbai,20.92,34.72,48.87
Mumbai,39.37,32.21,59.47
Mumbai,16.49,26.54,35.31
Mumbai,35.34,34.32,44.25
Mumbai,33.18,45.66,42.54
Mumbai,2.21,35.84,35.86
Mumbai,2.04,26.12,49.84
Mumbai,8.64,34.47,29.23
Mumbai,293.78,32.17,41.26
Mumbai,17.98,25.22,52.47
Mumbai,23.14,37.56,56.88
Mumbai,6.77,23.44,22.85
Mumbai,2.96,35.24,50.98
Mumbai,35.29,30.35,37.9
Mumbai,18.71,34.75,26.14
Mumbai,33.68,32.98,23.11
Mumbai,12.31,33.02,31.8
Mumbai,11.59,31.95,44.94
Mumbai,27.74,32.92,37.87
Mumbai,3.47,29.06,29.48
Mumbai,21.83,29.56,44.79
Mumbai,19.67,31.63,22.87
Mumbai,19.26,29.9,58.49
Mumbai,7.24,23.52,3.85
Mumbai,1.29,24.47,26.69
Mumbai,13.05,28.6,29.23
Mumbai,20.01,35.6,28.96
Mumbai,10.02,31.32,59.61
Mumbai,25.56,36.93,41.14
Mumbai,12.13,37.77,56.24
Mumbai,10.77,30.76,40.22
Mumbai,16.33,27.34,25.09
Mumbai,34.02,25.65,42.16
Mumbai,197.45,32.49,22.6
Mumbai,23.27,47.55,44.26
Mumbai,17.71,34.84,20.44
Mumbai,36.16,24.4,46.4
Mumbai,23.98,29.91,39.09
Mumbai,8.98,27.64,20.74
Mumbai,25.76,34.43,48.47
Mumbai,19.0,25.93,28.94
Mumbai,16.56,35.19,28.05
Mumbai,0.71,37.23,99.85
Mumbai,38.83,23.25,44.55
Mumbai,16.69,24.46,23.0
Mumbai,33.96,30.16,58.78
Mumbai,14.76,25.51,57.7
Mumbai,8.61,28.05,29.67
Mumbai,37.07,33.09,26.02
Mumbai,26.97,23.14,50.15
Mumbai,13.4,30.32,37.86
Mumbai,26.03,36.16,25.67
Mumbai,27.5,26.59,37.64
Mumbai,20.88,22.51,34.95
Mumbai,4.35,45.74,35.76
Mumbai,15.11,31.5,96.72
Mumbai,4.01,37.08,98.82
Mumbai,31.5,36.87,21.69
Mumbai,21.88,27.38,20.65
Mumbai,33.71,29.68,39.0
Mumbai,2.07,26.25,23.63
Mumbai,37.2,37.54,40.18
Mumbai,17.93,35.69,41.23
Mumbai,7.46,22.5,28.01
Mumbai,7.25,26.22,33.95
Mumbai,18.66,35.64,28.55
Mumbai,13.71,29.91,29.54
Mumbai,5.23,36.99,48.41
Mumbai,39.71,24.61,41.33
Mumbai,24.52,47.78,21.58
Mumbai,9.61,22.52,27.72
Mumbai,15.41,27.25,21.01
Mumbai,30.27,36.86,41.27
Mumbai,30.96,35.51,37.37
Mumbai,32.26,36.87,59.77
Mumbai,3.73,22.55,51.97
Mumbai,34.27,26.41,21.7
Mumbai,10.61,28.8,30.81
Mumbai,17.04,30.04,30.29
Chennai,6.07,31.05,52.96
Chennai,38.79,37.48,25.68
Chennai,6.8,31.35,57.18
Chennai,22.55,22.94,52.64
Chennai,20.49,32.61,57.48
Chennai,7.44,31.4,37.71
Chennai,4.17,29.29,39.3
Chennai,3.51,36.87,32.59
Chennai,18.1,25.04,30.13
Chennai,2.69,32.46,46.22
Chennai,37.99,36.02,32.81
Chennai,21.49,22.97,30.18
Chennai,7.88,32.03,33.82
Chennai,30.87,31.4,40.88
Chennai,31.75,28.87,59.47
Chennai,3.71,24.03,40.31
Chennai,34.77,31.8,53.7
Chennai,1.46,25.46,45.94
Chennai,7.52,33.26,23.74
Chennai,30.57,26.68,48.33
Chennai,12.31,22.63,21.73
Chennai,259.42,34.1,39.44
Chennai,12.99,28.9,55.92
Chennai,3.15,24.89,31.5
Chennai,30.56,36.71,22.68
Chennai,3.21,37.78,27.92
Chennai,19.92,28.03,25.54
Chennai,27.59,27.91,22.77
Chennai,2.77,26.61,22.66
Chennai,33.42,22.38,54.15
Chennai,21.93,34.73,40.03
Chennai,6.01,22.83,55.45
Chennai,27.41,28.7,40.86
Chennai,13.08,26.01,26.0
Chennai,24.08,33.1,29.5
Chennai,0.34,34.2,21.8
Chennai,2.87,34.1,20.44
Chennai,39.65,25.03,42.21
Chennai,31.69,36.28,29.89
Chennai,11.9,36.91,58.98
Chennai,21.5,23.72,41.11
Chennai,37.26,25.17,23.88
Chennai,29.03,33.07,50.29
Chennai,28.73,27.16,58.28
Chennai,26.57,34.1,26.42
Chennai,21.58,31.15,36.17
Chennai,23.41,33.52,51.61
Chennai,21.5,23.62,41.1
Chennai,27.16,31.48,49.36
Chennai,23.74,27.42,54.56
Chennai,20.79,22.81,27.72
Chennai,37.77,25.76,33.53
Chennai,15.33,34.84,44.35
Chennai,16.09,36.77,40.89
Chennai,8.47,29.98,47.32
Chennai,33.17,22.85,57.48
Chennai,25.69,28.72,23.87
Chennai,33.47,25.63,28.61
Chennai,22.53,32.02,26.04
Chennai,36.1,32.1,45.57
Chennai,0.66,31.37,35.09
Chennai,226.46,28.99,29.99
Chennai,15.01,24.77,31.76
Chennai,19.97,37.2,47.71
Chennai,189.36,22.5,47.13
Chennai,20.66,28.34,24.0
Chennai,39.82,46.67,53.07
Chennai,24.8,35.74,57.05
Chennai,275.43,25.11,1.67
Chennai,18.04,34.28,46.1
Chennai,11.82,23.42,57.7
Chennai,16.45,29.31,21.26
Chennai,24.57,32.66,55.47
Chennai,19.71,26.34,27.9
Chennai,32.92,36.04,29.13
Chennai,22.85,30.97,31.54
Chennai,3.3,36.2,40.84
Chennai,18.58,35.17,48.66
Chennai,22.99,26.66,49.18
Chennai,26.58,37.89,52.56
Chennai,18.11,28.31,24.24
Chennai,33.63,28.31,39.66
Chennai,35.81,31.2,44.57
Chennai,15.95,31.31,38.89
Chennai,29.83,34.81,26.14
Chennai,11.41,25.82,30.2
Chennai,37.95,36.01,54.99
Chennai,32.79,28.29,47.55
Chennai,15.51,33.35,55.7
Chennai,6.82,37.55,29.99
Chennai,34.42,30.05,20.49
Chennai,20.49,27.68,26.72
Chennai,31.39,28.3,20.11
Chennai,22.2,26.35,27.26
Chennai,28.27,23.49,27.0
Chennai,14.42,25.3,39.88
Chennai,183.79,35.4,55.28
Chennai,34.79,32.79,46.11
Chennai,4.02,23.16,37.81
Chennai,33.64,24.59,55.5
Chennai,263.11,32.38,30.39
Chennai,4.68,32.2,28.67
Chennai,27.47,36.96,53.43
Chennai,29.59,35.55,45.07
Chennai,27.18,37.97,22.45
Chennai,4.76,27.26,27.35
Chennai,1.8,33.1,21.13
Chennai,11.3,28.95,31.51
Chennai,2.16,37.69,38.61
Chennai,32.5,25.55,38.51
Chennai,27.35,32.4,34.87
Chennai,268.04,29.01,28.38
Chennai,9.3,34.28,35.21
Chennai,32.6,34.13,46.43
Chennai,29.91,28.63,32.71
Chennai,16.59,28.57,57.23
Chennai,243.22,22.32,24.74
Chennai,10.98,30.46,0.47
Chennai,13.16,25.55,95.54
Chennai,5.86,31.88,59.47
Chennai,38.98,31.97,35.36
Chennai,5.97,28.07,58.72
Chennai,36.91,33.27,41.34
Chennai,18.25,25.91,21.38
Chennai,39.98,45.48,22.4
Chennai,27.36,27.84,43.77
Chennai,22.53,32.67,32.86
Chennai,9.79,47.96,52.6
Chennai,11.34,27.19,58.31
Chennai,6.14,24.37,40.72
Chennai,6.28,45.74,51.89
Chennai,4.03,26.11,32.82
Chennai,22.95,29.51,25.13
Chennai,20.23,32.46,48.65
Chennai,24.54,23.59,22.65
Chennai,2.43,24.57,51.63
Chennai,12.38,31.01,46.2
Chennai,39.17,35.27,29.79
Chennai,3.38,31.44,23.18
Chennai,11.72,34.19,31.14
Chennai,37.93,27.22,35.73
Chennai,18.97,27.03,30.68
Chennai,24.1,34.64,30.16
Chennai,39.41,31.88,3.18
Chennai,36.97,29.16,59.02
Chennai,25.7,25.98,23.9
Chennai,31.31,29.93,26.07
Chennai,10.8,29.07,55.31
Chennai,17.84,24.91,37.94
Chennai,294.6,33.58,56.27
Chennai,24.44,26.28,24.56
Chennai,31.24,27.06,38.14
Chennai,36.76,36.66,58.58
Chennai,1.9,28.24,26.8
Chennai,7.82,34.17,47.04
Chennai,25.86,37.0,30.21
Chennai,26.26,32.12,46.93
Chennai,10.91,27.32,38.17
Chennai,7.72,24.06,57.76
Chennai,36.04,22.69,50.44
Chennai,2.27,28.02,26.92
Chennai,2.55,32.23,48.47
Chennai,7.35,46.8,24.95
Chennai,13.27,22.91,32.48
Chennai,38.57,33.44,47.63
Chennai,7.54,31.67,46.88
Chennai,39.38,22.64,34.59
Chennai,226.09,26.12,26.95
Chennai,3.22,35.83,31.53
Chennai,1.07,33.2,35.52
Chennai,3.76,36.91,56.91
Chennai,25.98,28.67,0.55
Chennai,14.07,34.65,25.86
Chennai,14.19,45.84,30.97
Chennai,30.4,24.22,47.09
Chennai,25.92,29.03,40.73
Chennai,6.57,37.27,34.21
Chennai,35.93,36.71,24.59
Chennai,13.82,36.07,58.85
Chennai,10.84,22.6,24.06
Bengaluru,22.61,23.27,22.87
Bengaluru,13.55,25.02,58.06
Bengaluru,38.39,32.27,48.16
Bengaluru,19.34,27.18,46.59
Bengaluru,191.35,25.05,45.14
Bengaluru,3.61,27.64,43.16
Bengaluru,19.48,34.1,39.17
Bengaluru,291.38,26.1,48.75
Bengaluru,159.28,46.8,57.34
Bengaluru,21.84,26.67,49.5
Bengaluru,3.42,22.2,48.31
Bengaluru,24.17,28.5,40.26
Bengaluru,37.77,22.42,34.67
Bengaluru,20.99,26.68,33.61
Bengaluru,6.3,30.05,51.82
Bengaluru,30.95,22.53,21.55
Bengaluru,19.82,30.97,47.12
Bengaluru,12.72,31.36,32.59
Bengaluru,27.76,24.16,55.71
Bengaluru,278.27,30.12,20.41
Bengaluru,18.2,26.59,56.9
Bengaluru,8.11,30.78,37.57
Bengaluru,5.53,37.59,99.63
Bengaluru,4.41,32.37,53.38
Bengaluru,36.29,35.0,30.07
Bengaluru,4.03,24.14,22.18
Bengaluru,9.28,34.59,54.01
Bengaluru,13.69,28.44,41.15
Bengaluru,35.14,35.15,42.3
Bengaluru,9.92,30.99,32.89
Bengaluru,239.44,25.01,34.57
Bengaluru,13.47,34.1,52.87
Bengaluru,22.37,45.11,51.29
Bengaluru,36.09,47.38,51.58
Bengaluru,193.23,34.69,32.05
Bengaluru,38.67,29.15,36.38
Bengaluru,17.29,36.54,42.57
Bengaluru,28.21,31.01,49.99
Bengaluru,29.85,29.97,20.1
Bengaluru,24.4,35.06,50.33
Bengaluru,34.17,31.13,98.59
Bengaluru,19.86,32.9,58.36
Bengaluru,39.52,36.7,44.38
Bengaluru,21.73,30.33,24.39
Bengaluru,20.24,23.74,53.5
Bengaluru,1.95,46.42,48.21
Bengaluru,9.13,24.47,55.55
Bengaluru,35.44,27.28,39.2
Bengaluru,4.58,35.82,33.76
Bengaluru,11.7,29.97,44.91
Bengaluru,28.44,36.47,58.93
Bengaluru,34.43,35.4,50.48
Bengaluru,12.28,27.16,52.8
Bengaluru,29.81,34.25,36.07
Bengaluru,36.61,28.25,51.17
Bengaluru,32.16,34.9,21.78
Bengaluru,34.78,37.22,31.47
Bengaluru,20.05,36.97,1.23
Bengaluru,9.03,27.24,55.61
Bengaluru,27.78,24.56,58.57
Bengaluru,11.1,35.37,42.43
Bengaluru,26.9,25.04,58.61
Bengaluru,16.63,22.99,28.67
Bengaluru,21.38,22.48,27.06
Bengaluru,30.24,28.23,54.37
Bengaluru,8.41,25.25,23.32
Bengaluru,16.68,22.92,56.33
Bengaluru,27.18,28.72,25.14
Bengaluru,23.03,31.77,33.83
Bengaluru,35.13,31.14,22.13
Bengaluru,6.84,29.79,23.78
Bengaluru,38.09,28.1,44.01
Bengaluru,21.7,28.78,21.9
Bengaluru,214.5,25.91,47.37
Bengaluru,6.12,32.72,49.37
Bengaluru,30.33,34.07,53.29
Bengaluru,32.07,29.6,40.6
Bengaluru,17.25,34.79,29.96
Bengaluru,30.28,36.51,43.17
Bengaluru,39.0,33.6,37.65
Bengaluru,7.56,30.17,48.68
Bengaluru,35.06,25.2,40.46
Bengaluru,30.05,27.5,31.13
Bengaluru,6.6,27.23,29.95
Bengaluru,31.6,27.39,45.23
Bengaluru,38.45,35.09,39.65
Bengaluru,3.13,37.39,53.44
Bengaluru,9.05,36.85,25.12
Bengaluru,27.93,27.2,2.81
Bengaluru,25.96,28.64,20.62
Bengaluru,12.5,22.32,46.64
Bengaluru,37.43,31.08,42.56
Bengaluru,17.24,28.85,47.43
Bengaluru,30.74,30.61,48.92
Bengaluru,10.83,36.97,39.04
Bengaluru,16.55,26.64,47.42
Bengaluru,269.25,32.92,46.11
Bengaluru,38.36,33.72,29.45
Bengaluru,16.96,27.87,44.15
Bengaluru,32.17,33.3,38.8
Bengaluru,251.39,37.19,42.55
Bengaluru,24.8,27.93,24.46
Bengaluru,39.96,22.03,20.8
Bengaluru,28.7,33.41,58.98
Bengaluru,298.03,36.86,25.7
Bengaluru,20.63,36.79,32.44
Bengaluru,5.34,24.29,48.19
Bengaluru,14.97,35.01,41.88
Bengaluru,20.45,35.85,35.84
Bengaluru,20.75,32.57,28.71
Bengaluru,13.84,25.32,41.46
Bengaluru,5.55,30.5,40.41
Bengaluru,224.56,27.48,39.91
Bengaluru,2.92,25.05,27.11
Bengaluru,8.39,36.01,37.02
Bengaluru,37.77,23.1,59.56
Bengaluru,4.24,27.05,47.79
Bengaluru,13.79,29.97,37.28
Bengaluru,38.15,30.35,23.05
Bengaluru,2.19,29.9,23.49
Bengaluru,23.25,27.95,28.81
Bengaluru,39.62,37.67,23.23
Bengaluru,9.51,45.29,33.59
Bengaluru,28.64,35.63,41.54
Bengaluru,19.81,24.59,30.55
Bengaluru,37.19,31.04,30.02
Bengaluru,3.51,25.55,32.6
Bengaluru,31.86,32.43,39.2
Bengaluru,20.44,32.25,24.96
Bengaluru,12.53,28.06,37.7
Bengaluru,5.41,29.69,29.66
Bengaluru,14.67,37.19,41.89
Bengaluru,33.13,26.69,35.8
Bengaluru,38.67,24.58,24.75
Bengaluru,11.25,36.56,35.71
Bengaluru,16.79,22.47,45.97
Bengaluru,6.25,27.91,49.17
Bengaluru,21.61,30.63,22.93
Bengaluru,4.04,35.37,28.77
Bengaluru,23.64,32.99,31.8
Bengaluru,22.39,36.52,48.48
Bengaluru,36.61,27.15,50.83
Bengaluru,30.71,31.43,32.72
Bengaluru,38.04,36.19,59.86
Bengaluru,20.75,34.77,49.25
Bengaluru,17.1,30.15,99.28
Bengaluru,31.83,30.46,35.32
Bengaluru,10.21,33.05,36.63
Bengaluru,21.51,29.58,20.25
Bengaluru,2.84,25.32,31.21
Bengaluru,15.85,25.98,2.68
Bengaluru,38.48,37.93,51.56
Bengaluru,24.47,32.46,49.03
Bengaluru,27.98,36.7,24.17
Bengaluru,2.78,23.29,42.09
Bengaluru,11.19,23.88,27.0
Bengaluru,8.2,23.69,49.85
Bengaluru,7.6,29.18,47.97
Bengaluru,17.97,31.08,47.16
Bengaluru,39.04,24.91,0.76
Bengaluru,34.91,24.82,30.23
Bengaluru,1.31,34.37,26.87
Bengaluru,34.73,32.48,53.12
Bengaluru,20.35,26.21,20.83
Bengaluru,32.01,24.4,41.23
Bengaluru,2.83,29.44,31.16
Bengaluru,35.51,35.07,40.47
Bengaluru,32.62,34.11,39.14
Bengaluru,34.5,22.67,54.27
Bengaluru,28.0,46.07,25.19
Bengaluru,6.25,25.46,44.19
Bengaluru,2.61,31.44,36.12
Bengaluru,23.57,33.01,48.55
Bengaluru,14.01,45.38,33.77
Bengaluru,25.1,34.77,52.79
Bengaluru,242.95,34.61,35.88
Bengaluru,22.03,22.94,42.04
Bengaluru,29.66,36.73,57.59
Bengaluru,18.96,23.12,2.56
Bengaluru,5.1,31.1,49.21
Kolkata,30.64,30.31,27.32
Kolkata,26.24,36.28,58.09
Kolkata,19.45,25.88,46.38
Kolkata,29.79,29.61,25.86
Kolkata,11.36,30.19,43.62
Kolkata,28.94,36.34,96.6
Kolkata,18.86,36.64,26.17
Kolkata,23.28,34.16,46.14
Kolkata,17.56,34.1,51.13
Kolkata,29.86,45.82,43.82
Kolkata,15.02,24.61,22.09
Kolkata,6.03,34.4,20.56
Kolkata,226.6,24.88,29.14
Kolkata,15.17,24.21,21.19
Kolkata,36.08,27.95,42.69
Kolkata,9.45,26.83,32.59
Kolkata,36.48,29.33,39.57
Kolkata,0.81,37.58,46.42
Kolkata,13.37,31.35,52.98
Kolkata,16.59,37.51,26.05
Kolkata,26.34,25.77,31.14
Kolkata,1.62,32.47,29.51
Kolkata,38.81,32.17,29.66
Kolkata,11.21,23.79,41.34
Kolkata,34.02,23.72,34.3
Kolkata,19.76,34.33,3.09
Kolkata,5.23,28.59,50.25
Kolkata,23.56,36.04,24.57
Kolkata,17.25,34.21,23.39
Kolkata,30.94,33.73,48.97
Kolkata,9.37,34.33,46.16
Kolkata,20.13,32.66,25.66
Kolkata,1.95,47.97,34.22
Kolkata,39.2,33.61,22.82
Kolkata,0.07,26.01,50.79
Kolkata,0.98,37.84,30.97
Kolkata,6.42,34.08,42.15
Kolkata,12.14,24.6,53.95
Kolkata,32.85,29.83,47.12
Kolkata,33.99,32.75,40.23
Kolkata,25.75,25.77,49.19
Kolkata,8.45,28.95,33.26
Kolkata,24.92,37.79,48.0
Kolkata,34.29,23.7,54.57
Kolkata,27.01,27.17,25.44
Kolkata,17.86,25.45,45.54
Kolkata,4.37,35.59,27.81
Kolkata,10.92,27.22,45.94
Kolkata,13.61,24.81,28.03
Kolkata,221.07,26.37,56.74
Kolkata,12.4,35.51,25.05
Kolkata,16.67,36.11,42.97
Kolkata,27.45,29.28,43.17
Kolkata,32.44,36.0,26.3
Kolkata,1.4,32.56,24.45
Kolkata,3.1,37.11,50.4
Kolkata,39.88,26.57,54.26
Kolkata,18.86,33.63,36.0
Kolkata,16.01,30.4,59.1
Kolkata,13.69,24.14,23.46
Kolkata,6.69,34.7,44.48
Kolkata,22.68,27.52,40.26
Kolkata,17.87,26.28,22.81
Kolkata,32.17,31.68,32.66
Kolkata,13.73,36.55,47.27
